ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2024-11-30T13:35:06Z,android,160333,IN,2401:4900:81fa:f70d:f605:f138:9f02:5802,Chaudhary,Mame Khan,Coke Studio S2,spotify:track:5Xe4kq8j3saW89CSNQGawF,,,,,,,,clickrow,logout,True,False,False,1732973330,False
2024-11-30T14:46:11Z,windows,11700,IN,122.161.65.208,Chaudhary,Mame Khan,Coke Studio S2,spotify:track:5Xe4kq8j3saW89CSNQGawF,,,,,,,,remote,endplay,False,True,False,1732973770,False
2024-11-30T14:46:25Z,windows,13440,IN,122.161.65.208,Tu Saamne,Abhijeet Srivastava,Tu Saamne,spotify:track:0Q4oZdUT0ddDMeN9snzgvS,,,,,,,,playbtn,endplay,False,True,False,1732978038,False
2024-11-30T14:50:31Z,windows,246111,IN,122.161.65.208,Jab Tum Miley,Abhilasha Sinha,Jab Tum Miley,spotify:track:1JelKGBph8gon106Wqjwu2,,,,,,,,playbtn,trackdone,False,False,False,1732978052,False
2024-11-30T14:51:10Z,windows,10728,IN,122.161.65.208,Waqt Ki Baatein,Dream Note,Waqt Ki Baatein,spotify:track:0cJTjTH3XVTTJh8F4Uq1db,,,,,,,,trackdone,fwdbtn,False,True,False,1732978324,False
2024-11-30T14:51:12Z,windows,1560,IN,122.161.65.208,Farq hai,Suzonn,Farq hai,spotify:track:6MZyrnqwsLnrWY5Gk0AyXg,,,,,,,,fwdbtn,fwdbtn,False,True,False,1732978336,False
2024-11-30T14:51:17Z,windows,4960,IN,122.161.65.208,In your arms,Anirudh Sharma,In your arms,spotify:track:3dU3JKJ0oCp6Y7vdeP8FG7,,,,,,,,fwdbtn,fwdbtn,False,True,False,1732978338,False
2024-11-30T14:54:10Z,windows,174146,IN,122.161.65.208,Sajna,Ishpreet Singh,Saaye,spotify:track:5ObHoYQ32HHBs17Wi0OHk2,,,,,,,,fwdbtn,trackdone,False,False,False,1732978343,False
2024-11-30T18:43:07Z,windows,48743,IN,122.161.65.208,Woh Raat,Shivoryx,Woh Raat,spotify:track:52lObaMpTZyYt2aACIkBmC,,,,,,,,trackdone,remote,False,False,False,1732978516,False
2024-11-30T18:57:06Z,android,103820,IN,2401:4900:81fa:f70d:f605:f138:9f02:5802,Chaudhary,Mame Khan,Coke Studio S2,spotify:track:5Xe4kq8j3saW89CSNQGawF,,,,,,,,appload,logout,True,False,False,1732992184,False
2024-11-30T19:17:48Z,windows,17950,IN,122.161.65.208,Chaudhary,Mame Khan,Coke Studio S2,spotify:track:5Xe4kq8j3saW89CSNQGawF,,,,,,,,remote,endplay,False,True,False,1732993092,False
2024-11-30T19:20:59Z,windows,191460,IN,122.161.65.208,Woh Raat,Shivoryx,Woh Raat,spotify:track:52lObaMpTZyYt2aACIkBmC,,,,,,,,playbtn,trackdone,False,False,False,1732994334,False
2024-11-30T19:24:54Z,windows,4210,IN,122.161.65.208,"London Thumakda (From ""Queen"")",Labh Janjua,Best Of Neha Kakkar,spotify:track:1VY2incfH4TLT9PCbot6lj,,,,,,,,playbtn,endplay,False,True,False,1732994756,False
2024-11-30T19:28:35Z,windows,220800,IN,122.161.65.208,Tere Bina Na Guzara E,Josh Brar,Tere Bina Na Guzara E,spotify:track:0NXnuTqFQHDsbEIoKIAVCN,,,,,,,,playbtn,endplay,False,True,False,1732994761,False
2024-11-30T20:34:02Z,android,10576,IN,2401:4900:81fa:f70d:f605:f138:9f02:5802,Ab Na Phir Se,Yasser Desai,Hacked,spotify:track:6q0YybgFo1PWplB72MkOi3,,,,,,,,unknown,endplay,False,True,False,1732998831,False
